name,size,caffeine,category,featured
Youthberry Brewed Tea,Tall,15,Tea,FALSE
Hot Chocolate,Short,15,Other,FALSE
Mint Majesty Brewed Tea,Short,0,Tea,FALSE
Mint Majesty Brewed Tea,Tall,0,Tea,FALSE
Mint Majesty Brewed Tea,Grande,0,Tea,FALSE
Mint Majesty Brewed Tea,Venti,0,Tea,FALSE
Chai Tea,Short,0,Tea,FALSE
Chai Tea,Tall,0,Tea,FALSE
Chai Tea,Grande,0,Tea,FALSE
Chai Tea,Venti,0,Tea,FALSE
Passion Tango Brewed Tea,Short,0,Tea,FALSE
Passion Tango Brewed Tea,Tall,0,Tea,FALSE
Passion Tango Brewed Tea,Grande,0,Tea,FALSE
Passion Tango Brewed Tea,Venti,0,Tea,FALSE
Iced Passion Tango tea,Tall,0,Tea,FALSE
Iced Passion Tango tea,Grande,0,Tea,FALSE
Iced Passion Tango tea,Venti,0,Tea,FALSE
Iced Passion Tango tea,Trenta,0,Tea,FALSE
Peach Tranquility Tea,Short,0,Tea,FALSE
Peach Tranquility Tea,Tall,0,Tea,FALSE
Peach Tranquility Tea,Grande,0,Tea,FALSE
Peach Tranquility Tea,Venti,0,Tea,FALSE
Orange Mango Smoothie,Grande,0,Smoothies,FALSE
Strawberry Smoothie,Grande,0,Smoothies,FALSE
Vanilla Bean Frappuccino,Tall,0,Frappucino Blended Creme,FALSE
Vanilla Bean Frappuccino,Grande,0,Frappucino Blended Creme,FALSE
Vanilla Bean Frappuccino,Venti,0,Frappucino Blended Creme,FALSE
Caramel Apple Spice,Short,0,Other,FALSE
Caramel Apple Spice,Tall,0,Other,FALSE
Caramel Apple Spice,Grande,0,Other,FALSE
Caramel Apple Spice,Venti,0,Other,FALSE
Lemonade,Tall,0,Other,FALSE
Lemonade,Grande,0,Other,FALSE
Lemonade,Venti,0,Other,FALSE
Lemonade,Trenta,0,Other,FALSE
Milk,Tall,0,Other,FALSE
Milk,Grande,0,Other,FALSE
Milk,Venti,0,Other,FALSE
Skinny Hot Chocolate,Short,0,Other,FALSE
Skinny Hot Chocolate,Tall,0,Other,FALSE
Skinny Hot Chocolate,Grande,0,Other,FALSE
Skinny Hot Chocolate,Venti,0,Other,FALSE
Steamed Apple Juice,Short,0,Other,FALSE
Steamed Apple Juice,Tall,0,Other,FALSE
Steamed Apple Juice,Grande,0,Other,FALSE
Steamed Apple Juice,Venti,0,Other,FALSE
Steamed Milk,Short,0,Other,FALSE
Steamed Milk,Tall,0,Other,FALSE
Steamed Milk,Grande,0,Other,FALSE
Steamed Milk,Venti,0,Other,FALSE
Vanilla Steamer,Short,0,Other,FALSE
Vanilla Steamer,Tall,0,Other,FALSE
Vanilla Steamer,Grande,0,Other,FALSE
Vanilla Steamer,Venti,0,Other,FALSE
White Hot Chocolate,Short,0,Other,FALSE
White Hot Chocolate,Tall,0,Other,FALSE
White Hot Chocolate,Grande,0,Other,FALSE
White Hot Chocolate,Venti,0,Other,FALSE
